Top 100000000 metrics most correlated with CPI change:
-----------------------------------------------------
system.switch_cpus.numCycles   | Correlation: 1.0000 ↑
system.switch_cpus.executeStats0.instRate | Correlation: -0.4721 ↓
system.switch_cpus.commit.numCommittedDist::4 | Correlation: -0.4851 ↓
system.switch_cpus.commit.commitEligibleSamples | Correlation: -0.4851 ↓
system.mem_ctrls.dram.totMemAccLat | Correlation: -0.4872 ↓
system.switch_cpus.commit.committedInstType_0::MemRead | Correlation: -0.4973 ↓
system.switch_cpus.commitStats0.numLoadInsts | Correlation: -0.4973 ↓
system.switch_cpus.commitStats0.committedInstType::MemRead | Correlation: -0.4973 ↓
system.mem_ctrls.dram.bytesPerActivate::768-895 | Correlation: -0.5121 ↓
system.mem_ctrls.dram.totQLat  | Correlation: -0.5267 ↓
system.switch_cpus.branchPred.committed_0::DirectCond | Correlation: -0.5726 ↓
system.l2.overallMissLatency::switch_cpus.data | Correlation: -0.6010 ↓
system.l2.demandMissLatency::switch_cpus.data | Correlation: -0.6010 ↓
system.l2.demandMshrMissLatency::switch_cpus.data | Correlation: -0.6205 ↓
system.l2.overallMshrMissLatency::switch_cpus.data | Correlation: -0.6205 ↓
system.switch_cpus.lsq0.loadToUse::stdev | Correlation: -0.6219 ↓
system.switch_cpus.iew.wbRate  | Correlation: -0.6326 ↓
system.mem_ctrls.dram.readRowHits | Correlation: -0.6462 ↓
system.mem_ctrls.requestorReadTotalLat::switch_cpus.data | Correlation: -0.6730 ↓
system.l2.ReadSharedReq.missLatency::total | Correlation: -0.6796 ↓
system.l2.ReadSharedReq.missLatency::switch_cpus.data | Correlation: -0.6796 ↓
system.l2.ReadSharedReq.mshrMissLatency::total | Correlation: -0.6863 ↓
system.l2.ReadSharedReq.mshrMissLatency::switch_cpus.data | Correlation: -0.6863 ↓
system.mem_ctrls.dram.avgQLat  | Correlation: -0.6914 ↓
system.switch_cpus.MemDepUnit__0.conflictingStores | Correlation: -0.6959 ↓
system.switch_cpus.commit.numCommittedDist::stdev | Correlation: -0.7370 ↓
system.mem_ctrls.dram.avgMemAccLat | Correlation: -0.7471 ↓
system.l2.tags.ageTaskId_1024::3 | Correlation: -0.7664 ↓
system.switch_cpus.numIssuedDist::max_value | Correlation: -0.7727 ↓
system.l2.demandAvgMshrMissLatency::total | Correlation: -0.7797 ↓
system.l2.overallAvgMshrMissLatency::total | Correlation: -0.7797 ↓
system.l2.demandAvgMissLatency::total | Correlation: -0.7822 ↓
system.l2.overallAvgMissLatency::total | Correlation: -0.7822 ↓
system.mem_ctrls.requestorReadAvgLat::switch_cpus.data | Correlation: -0.7932 ↓
system.mem_ctrls.dram.rank1.averagePower | Correlation: -0.7944 ↓
system.mem_ctrls.dram.rank0.averagePower | Correlation: -0.8106 ↓
system.l2.ReadSharedReq.avgMshrMissLatency::switch_cpus.data | Correlation: -0.8161 ↓
system.l2.ReadSharedReq.avgMshrMissLatency::total | Correlation: -0.8161 ↓
system.l2.ReadSharedReq.avgMissLatency::switch_cpus.data | Correlation: -0.8178 ↓
system.l2.ReadSharedReq.avgMissLatency::total | Correlation: -0.8178 ↓
system.l2.demandAvgMshrMissLatency::switch_cpus.data | Correlation: -0.8183 ↓
system.l2.overallAvgMshrMissLatency::switch_cpus.data | Correlation: -0.8183 ↓
system.l2.overallAvgMissLatency::switch_cpus.data | Correlation: -0.8201 ↓
system.l2.demandAvgMissLatency::switch_cpus.data | Correlation: -0.8201 ↓
system.l2.tags.ageTaskId_1024::2 | Correlation: -0.8268 ↓
system.switch_cpus.commit.numCommittedDist::mean | Correlation: -0.9096 ↓
system.mem_ctrls.dram.busUtilWrite | Correlation: -0.9214 ↓
system.mem_ctrls.dram.avgWrBW  | Correlation: -0.9408 ↓
system.mem_ctrls.requestorWriteRate::writebacks | Correlation: -0.9408 ↓
system.mem_ctrls.avgWrBWSys    | Correlation: -0.9416 ↓
system.mem_ctrls.dram.bwWrite::total | Correlation: -0.9416 ↓
system.mem_ctrls.dram.bwTotal::writebacks | Correlation: -0.9416 ↓
system.mem_ctrls.dram.bwWrite::writebacks | Correlation: -0.9416 ↓
system.mem_ctrls.dram.bwTotal::total | Correlation: -0.9655 ↓
system.mem_ctrls.dram.avgRdBW  | Correlation: -0.9713 ↓
system.mem_ctrls.dram.bwRead::total | Correlation: -0.9713 ↓
system.mem_ctrls.avgRdBWSys    | Correlation: -0.9713 ↓
system.mem_ctrls.dram.busUtil  | Correlation: -0.9742 ↓
system.mem_ctrls.requestorReadRate::switch_cpus.data | Correlation: -0.9825 ↓
system.mem_ctrls.dram.bwTotal::switch_cpus.data | Correlation: -0.9826 ↓
system.mem_ctrls.dram.bwRead::switch_cpus.data | Correlation: -0.9826 ↓
system.mem_ctrls.dram.busUtilRead | Correlation: -0.9836 ↓
system.mem_ctrls.dram.bwRead::cpu.inst | Correlation: -0.9894 ↓
system.mem_ctrls.dram.bwInstRead::cpu.inst | Correlation: -0.9894 ↓
system.mem_ctrls.dram.bwTotal::cpu.inst | Correlation: -0.9894 ↓
system.mem_ctrls.dram.bwRead::cpu.data | Correlation: -0.9908 ↓
system.mem_ctrls.dram.bwTotal::cpu.data | Correlation: -0.9908 ↓
system.switch_cpus.ipc         | Correlation: -0.9943 ↓
system.switch_cpus.commitStats0.ipc | Correlation: -0.9943 ↓
